ASKA_name,Ecocyc_name,Keio_name,Synonyms,Accession-2,Left-End-Position,Right-End-Position,Direction,Product,RegulonDB,UniProt,Gene products (polypeptides and RNAs only),"Genes of polypeptide, complex, or RNA",growth (LB),normalized to median growth (LB),growth (M9+amino acids),normalized to median growth (M9+amino acids),COG_0204,COG_1025,EntrezID,COG_1025,COG_1025,
rnc,rnc,rnc,ranA,ECK2565,2703383,2704063,-,RNase III,b2567,P0A7Y0,RNase III,rnc,0.278479681,0.615514506,nan,0,Transcription,nan,nan,nan,nan,
rnr,rnr,rnr,vacB // yjeC,ECK4175,4406654,4409095,+,RNase R,b4179,P21499,RNase R,rnr,nan,nan,nan,0,Transcription,nan,nan,nan,nan,
rplD,rplD,rplD,eryA,ECK3306,3451681,3452286,-,50S ribosomal subunit protein L4,b3319,P60723,50S ribosomal subunit protein L4,rplD,nan,nan,nan,0,nan,nan,nan,nan,nan,
rplU,rplU,rplU,noSyn,ECK3175,3333140,3333451,-,50S ribosomal subunit protein L21,b3186,P0AG48,50S ribosomal subunit protein L21,rplU,nan,nan,nan,0,"Translation, ribosomal structure and biogenesis",nan,nan,nan,nan,
rpmA,rpmA,rpmA,rpz,ECK3174,3332862,3333119,-,50S ribosomal subunit protein L27,b3185,P0A7L8,50S ribosomal subunit protein L27,rpmA,nan,nan,nan,0,"Translation, ribosomal structure and biogenesis",nan,nan,nan,nan,
rpmF,rpmF,rpmF,noSyn,ECK1075,1147367,1147540,+,50S ribosomal subunit protein L32,b1089,P0A7N4,50S ribosomal subunit protein L32,rpmF,0.03476544,0.076840912,0.04812139,0.159006123,"Translation, ribosomal structure and biogenesis",nan,nan,nan,nan,
rpmH,rpmH,rpmH,rimA // ssaF,ECK3695,3884336,3884476,+,50S ribosomal subunit protein L34,b3703,P0A7P5,50S ribosomal subunit protein L34,rpmH,0.500317156,1.105834602,nan,0,"Translation, ribosomal structure and biogenesis",nan,nan,nan,nan,
rpmI,rpmI,rpmI,noSyn,ECK1715,1799802,1799999,-,50S ribosomal subunit protein L35,b1717,P0A7Q1,50S ribosomal subunit protein L35,rpmI,nan,nan,nan,0,"Translation, ribosomal structure and biogenesis",nan,nan,nan,nan,
rpsU,rpsU,rpsU,noSyn,ECK3055,3210781,3210996,+,30S ribosomal subunit protein S21,b3065,P68679,30S ribosomal subunit protein S21,rpsU,0.321576691,0.710770414,0.237236923,0.783895133,"Translation, ribosomal structure and biogenesis",nan,nan,nan,nan,
rrmJ,rlmE,rrmJ,ftsJ // mrsF // rrmJ,ECK3168,3327035,3327664,-,23S rRNA 2'-<i>O</i>-ribose U2552 methyltransferase,b3179,P0C0R7,23S rRNA 2'-<i>O</i>-ribose U2552 methyltransferase,rlmE,nan,nan,nan,0,"Translation, ribosomal structure and biogenesis",nan,nan,nan,nan,
rsgA,rsgA,rsgA,yjeQ,ECK4157,4390457,4391509,-,ribosome small subunit-dependent GTPase A,b4161,P39286,ribosome small subunit-dependent GTPase A,rsgA,nan,nan,nan,0,"Translation, ribosomal structure and biogenesis",nan,nan,nan,nan,
rtcB,rtcB,rtcB,yhgL,ECK3407,3556853,3558079,-,RNA-splicing ligase,b3421,P46850,RNA-splicing ligase,rtcB,0.488288697,1.079248493,0.317385348,1.048727268,"Translation, ribosomal structure and biogenesis",nan,nan,nan,nan,
sdhA,sdhA,sdhA,dhsA,ECK0712,755907,757673,+,"succinate:quinone oxidoreductase, FAD binding protein",b0723,P0AC41,"succinate:quinone oxidoreductase, FAD binding protein",sdhA,nan,nan,nan,0,Energy production and conversion,nan,nan,nan,nan,
secD,secD,secD,noSyn,ECK0402,427647,429494,+,Sec translocon accessory complex subunit SecD,b0408,P0AG90,Sec translocon accessory complex subunit SecD,secD,nan,nan,nan,0,"Intracellular trafficking, secretion, and vesicular transport",nan,nan,nan,nan,
secF,secF,secF,noSyn,ECK0403,429505,430476,+,Sec translocon accessory complex subunit SecF,b0409,P0AG93,Sec translocon accessory complex subunit SecF,secF,nan,nan,nan,0,"Intracellular trafficking, secretion, and vesicular transport",nan,nan,nan,nan,
secG,secG,secG,prlH,ECK3164,3322173,3322505,-,Sec translocon subunit SecG,b3175,P0AG99,Sec translocon subunit SecG,secG,0.436580666,0.964959928,0.278668428,0.920796062,"Intracellular trafficking, secretion, and vesicular transport",nan,nan,nan,nan,
sfmA,sfmA,sfmA,noSyn,ECK0523,558212,558754,+,putative fimbrial protein SfmA,b0530,P0ABW5,putative fimbrial protein SfmA,sfmA,0.48585259,1.073864045,0.284690186,0.940693585,Cell motility,nan,nan,nan,nan,
sseA,sseA,sseA,mstA,ECK2517,2652494,2653339,+,3-mercaptopyruvate sulfurtransferase,b2521,P31142,3-mercaptopyruvate sulfurtransferase,sseA,0.447639274,0.989402405,0.31576083,1.043359418,Inorganic ion transport and metabolism,nan,nan,nan,nan,
tdcF,tdcF,tdcF,yhaR,ECK3102,3259721,3260110,-,putative enamine/imine deaminase,b3113,P0AGL2,putative enamine/imine deaminase,tdcF,0.474903475,1.049663576,0.311457275,1.029139308,Defense mechanisms,nan,nan,nan,nan,
thrA,thrA,thrA,thrA2 // Hs // thrA1 // thrD,ECK0002,337,2799,+,fused aspartate kinase/homoserine dehydrogenase 1,b0002,P00561,fused aspartate kinase/homoserine dehydrogenase 1,thrA,0.457290548,1.0107343,0.308737856,1.02015361,Amino acid transport and metabolism,Amino acid transport and metabolism,nan,nan,nan,
thrL,thrL,thrL,noSyn,ECK0001,190,255,+,<i>thr</i> operon leader peptide,b0001,P0AD86,<i>thr</i> operon leader peptide,thrL,0.472957865,1.045363257,0.300147124,0.9917675,nan,nan,nan,nan,nan,
tiaE,noSyn,tiaE,noSyn,nan,nan,nan,nan,NA,nan,nan,NA,nan,0.515628276,1.139676267,0.32796741,1.083693271,nan,RNA processing and modification,nan,nan,nan,
tolC,tolC,tolC,weeA // colE1-i // mtcB // mukA // refI // toc,ECK3026,3178115,3179596,+,outer membrane channel TolC,b3035,P02930,outer membrane channel TolC,tolC,nan,nan,nan,0,Cell wall/membrane/envelope biogenesis,nan,nan,nan,nan,
torD,torD,torD,noSyn,ECK0989,1061799,1062398,+,trimethylamine-N-oxide reductase-specific chaperone,b0998,P36662,trimethylamine-N-oxide reductase-specific chaperone,torD,nan,nan,nan,0,"Posttranslational modification, protein turnover, chaperones",nan,nan,nan,nan,
tpiA,tpiA,tpiA,tpi,ECK3911,4110740,4111507,-,triose-phosphate isomerase,b3919,P0A858,triose-phosphate isomerase,tpiA,0.435886746,0.963426179,nan,0,Carbohydrate transport and metabolism,nan,nan,nan,nan,
ubiH,ubiH,ubiH,acd // visB,ECK2902,3052340,3053518,-,2-octaprenyl-6-methoxyphenol 4-hydroxylase,b2907,P25534,2-octaprenyl-6-methoxyphenol 4-hydroxylase,ubiH,0.251049442,0.554886347,nan,0,Energy production and conversion,nan,nan,nan,nan,
ubiX,ubiX,ubiX,dedF,ECK2305,2428057,2428626,-,flavin prenyltransferase,b2311,P0AG03,flavin prenyltransferase,ubiX,0.289042353,0.638860832,nan,0,Coenzyme transport and metabolism,nan,nan,nan,nan,
ucpA,ucpA,ucpA,yfeF,ECK2421,2543832,2544623,-,oxidoreductase UcpA,b2426,P37440,oxidoreductase UcpA,ucpA,0.464279029,1.026180712,0.307988795,1.017678508,Lipid transport and metabolism,nan,nan,nan,nan,
ugpA,ugpA,ugpA,psiB // psiC // ugp,ECK3436,3590024,3590911,-,<i>sn</i>-glycerol 3-phosphate ABC transporter membrane subunit UgpA,b3452,P10905,<i>sn</i>-glycerol 3-phosphate ABC transporter membrane subunit UgpA,ugpA,0.514559962,1.137315008,0.316185478,1.044762571,Carbohydrate transport and metabolism,nan,nan,nan,nan,
ugpB,ugpB,ugpB,psiB // psiC,ECK3437,3591009,3592325,-,<i>sn</i>-glycerol 3-phosphate ABC transporter periplasmic binding protein,b3453,P0AG80,<i>sn</i>-glycerol 3-phosphate ABC transporter periplasmic binding protein,ugpB,0.486103074,1.074417682,0.314652786,1.039698143,Carbohydrate transport and metabolism,nan,nan,nan,nan,
uvrD,uvrD,uvrD,uvr502 // srjC // uvrE // dar-2 // dda // mutU // pdeB // rad // recL,ECK3808,3997983,4000145,+,DNA helicase II,b3813,P03018,DNA helicase II,uvrD,nan,nan,nan,0,"Replication, recombination and repair",nan,nan,nan,nan,
uxuB,uxuB,uxuB,noSyn,ECK4314,4552901,4554361,+,D-mannonate oxidoreductase,b4323,P39160,D-mannonate oxidoreductase,uxuB,nan,nan,nan,0,Carbohydrate transport and metabolism,nan,nan,nan,nan,
wcaM,wcaM,wcaM,yefK,ECK2037,2114502,2115896,-,putative colanic acid biosynthesis protein WcaM,b2043,P71244,putative colanic acid biosynthesis protein WcaM,wcaM,nan,nan,nan,0,nan,nan,nan,nan,nan,
xapR,xapR,xapR,pRndR // pndR // yfeB,ECK2399,2521593,2522477,-,DNA-binding transcriptional activator XapR,b2405,P23841,DNA-binding transcriptional activator XapR,xapR,0.449325351,0.993129088,0.309173699,1.021593752,Transcription,nan,nan,nan,nan,
xdhA,xdhA,xdhA,ygeS,ECK2862,3000345,3002603,+,putative xanthine dehydrogenase molybdenum-binding subunit XdhA,b2866,Q46799,putative xanthine dehydrogenase molybdenum-binding subunit XdhA,xdhA,0.488719,1.080199578,0.289660168,0.957115753,Energy production and conversion,nan,nan,nan,nan,
xdhC,xdhC,xdhC,ygeU,ECK2864,3003489,3003968,+,putative xanthine dehydrogenase iron-sulfur-binding subunit XdhC,b2868,Q46801,putative xanthine dehydrogenase iron-sulfur-binding subunit XdhC,xdhC,0.499117855,1.103183825,0.319639679,1.056176187,Energy production and conversion,nan,nan,nan,nan,
yaaX,yaaX,yaaX,noSyn,ECK0005,5234,5530,+,DUF2502 domain-containing protein YaaX,b0005,P75616,DUF2502 domain-containing protein YaaX,yaaX,0.48830629,1.079287377,0.317804527,1.050112349,nan,nan,nan,nan,nan,
yaeR,yaeR,yaeR,noSyn,ECK0186,211877,212266,+,VOC domain-containing protein YaeR,b0187,P52096,VOC domain-containing protein YaeR,yaeR,0.431533588,0.953804536,0.307148963,1.014903475,"Secondary metabolites biosynthesis, transport and catabolism",nan,nan,nan,nan,
yafQ,yafQ,yafQ,noSyn,ECK0226,245961,246239,-,ribosome-dependent mRNA interferase toxin YafQ,b0225,Q47149,ribosome-dependent mRNA interferase toxin YafQ,yafQ,0.466191694,1.030408212,0.305202936,1.008473276,"Translation, ribosomal structure and biogenesis",nan,nan,nan,nan,
yafX,yafX,yafX,noSyn,ECK0250,264748,265206,-,CP4-6 prophage; protein YafX,b0248,P75676,CP4-6 prophage; protein YafX,yafX,0.451224179,0.997326005,0.299315394,0.989019239,nan,nan,nan,nan,nan,
yaiA,yaiA,yaiA,noSyn,ECK0384,406979,407170,+,protein YaiA,b0389,P0AAN5,protein YaiA,yaiA,0.475699862,1.051423803,0.297308999,0.982389564,nan,nan,nan,nan,nan,
yaiY,yaiY,yaiY,noSyn,ECK0374,399025,399333,-,DUF2755 domain-containing inner membrane protein YaiY,b0379,P0AAP7,DUF2755 domain-containing inner membrane protein YaiY,yaiY,0.48164234,1.064558268,0.314010858,1.037577037,nan,nan,nan,nan,nan,
yaiZ,yaiZ,yaiZ,noSyn,ECK0375,399593,399805,+,DUF2754 domain-containing protein YaiZ,b0380,P0AAQ0,DUF2754 domain-containing protein YaiZ,yaiZ,0.500316885,1.105834003,0.318526623,1.052498349,nan,nan,nan,nan,nan,
ybaM,ybaM,ybaM,noSyn,ECK0460,490110,490271,-,DUF2496 domain-containing protein YbaM,b0466,P45807,DUF2496 domain-containing protein YbaM,ybaM,0.473773781,1.04716665,0.307547896,1.016221658,nan,nan,nan,nan,nan,
ybbV,noSyn,tiaE,noSyn,nan,nan,nan,nan,NA,nan,nan,NA,nan,0.480282183,1.061551958,0.306605893,1.013109025,nan,RNA processing and modification,nan,nan,nan,
ybcC,exoD,ybcC,ybcC,ECK0531,566098,566361,-,DLP12 prophage; putative exonuclease ExoD,b0539,P75717,DLP12 prophage; putative exonuclease ExoD,exoD,0.47923683,1.059241447,0.310192983,1.024961742,nan,nan,nan,nan,nan,
ybcD,peaD,ybcD,ybcD,ECK0532,566376,566687,+,NA,b4508,nan,NA,nan,0.48050314,1.062040332,0.309053502,1.02119659,nan,nan,nan,nan,nan,
ybdD,ybdD,ybdD,noSyn,ECK0592,632182,632379,+,PF04328 family protein YbdD,b4512,P0AAS9,PF04328 family protein YbdD,ybdD,0.452218859,0.999524512,0.3015461,0.996390096,Function unknown,nan,nan,nan,nan,
ybdJ,ybdJ,ybdJ,noSyn,ECK0572,605951,606199,-,DUF1158 domain-containing protein YbdJ,b0580,P77506,DUF1158 domain-containing protein YbdJ,ybdJ,0.483779375,1.069281687,0.308269104,1.018604724,nan,nan,nan,nan,nan,
ybdO,ybdO,ybdO,noSyn,ECK0597,636716,637618,-,putative LysR family DNA-binding transcriptional regulator YbdO,b0603,P77746,putative LysR family DNA-binding transcriptional regulator YbdO,ybdO,nan,nan,nan,0,Transcription,nan,nan,nan,nan,
ybeR,ybeR,ybeR,noSyn,ECK0638,676711,677418,+,DUF1266 domain-containing protein YbeR,b0645,P77627,DUF1266 domain-containing protein YbeR,ybeR,nan,nan,nan,0,nan,nan,nan,nan,nan,
ybeY,ybeY,ybeY,noSyn,ECK0651,691874,692341,-,endoribonuclease YbeY,b0659,P0A898,endoribonuclease YbeY,ybeY,nan,nan,nan,0,"Translation, ribosomal structure and biogenesis",nan,nan,nan,nan,
ybiW,ybiW,ybiW,pflF,ECK0813,860174,862606,-,putative pyruvate formate lyase,b0823,P75793,putative pyruvate formate lyase,ybiW,nan,nan,nan,0,Energy production and conversion,nan,nan,nan,nan,
ybjC,ybjC,ybjC,noSyn,ECK0841,890913,891200,+,DUF1418 domain-containing protein YbjC,b0850,P46119,DUF1418 domain-containing protein YbjC,ybjC,nan,nan,nan,0,nan,nan,nan,nan,nan,
yccK,tusE,yccK,yccK,ECK0960,1030339,1030668,-,sulfur transfer protein TusE,b0969,P0AB18,sulfur transfer protein TusE,tusE,0.169699167,0.375080503,0.193934475,0.640812102,"Translation, ribosomal structure and biogenesis",nan,nan,nan,nan,
ycdI,rutE,ycdI,ycdI,ECK0999,1070365,1070955,-,putative malonic semialdehyde reductase,b1008,P75894,putative malonic semialdehyde reductase,rutE,nan,nan,nan,0,Energy production and conversion,nan,nan,nan,nan,
ycfD,roxA,ycfD,ycfD,ECK1114,1187119,1188240,-,ribosomal protein-arginine oxygenase,b1128,P27431,ribosomal protein-arginine oxygenase,roxA,nan,nan,nan,0,"Translation, ribosomal structure and biogenesis",nan,nan,nan,nan,
ychS,ychS,ychS,noSyn,ECK1222,1286709,1286984,+,putative uncharacterized protein YchS,b1228,P76023,putative uncharacterized protein YchS,ychS,nan,nan,nan,0,nan,nan,nan,nan,nan,
yddV,dosC,yddV,yddV // dgcO,ECK1484,1565758,1567140,-,diguanylate cyclase DosC,b1490,P0AA89,diguanylate cyclase DosC,dosC,nan,nan,nan,0,Signal transduction mechanisms,nan,nan,nan,nan,
yebA,mepM,yebA,yebA,ECK1857,1940313,1941635,-,peptidoglycan DD-endopeptidase MepM,b1856,P0AFS9,peptidoglycan DD-endopeptidase MepM,mepM,nan,nan,nan,0,Cell wall/membrane/envelope biogenesis,"Cell cycle control, cell division, chromosome partitioning",nan,nan,nan,
yehE,yehE,yehE,noSyn,ECK2105,2192515,2192796,-,DUF2574 domain-containing protein YehE,b2112,P33344,DUF2574 domain-containing protein YehE,yehE,nan,nan,nan,0,nan,nan,nan,nan,nan,
yfdT,yfdT,yfdT,noSyn,ECK2357,2475873,2476178,+,CPS-53 (KpLE1) prophage; protein YfdT,b2363,P76516,CPS-53 (KpLE1) prophage; protein YfdT,yfdT,0.360844441,0.797562633,nan,0,nan,nan,nan,nan,nan,
yfgA,rodZ,yfgA,yfgA,ECK2512,2641831,2642844,-,cytoskeleton protein RodZ,b2516,P27434,cytoskeleton protein RodZ,rodZ,0.290799217,0.642743971,nan,0,"Cell cycle control, cell division, chromosome partitioning",nan,nan,nan,nan,
yfgI,yfgI,yfgI,noSyn,ECK2502,2630326,2630865,+,nalidixic acid resistance protein YfgI,b2506,P76573,nalidixic acid resistance protein YfgI,yfgI,0.482014298,1.065380394,0.297482586,0.982963145,nan,nan,nan,nan,nan,
yfjT,yfjT,yfjT,noSyn,ECK2633,2771148,2771615,+,CP4-57 prophage; uncharacterized protein YfjT,b2637,P52135,CP4-57 prophage; uncharacterized protein YfjT,yfjT,0.445632891,0.984967764,0.322914719,1.06699781,nan,nan,nan,nan,nan,
yfjW,yfjW,yfjW,noSyn,ECK2638,2773318,2775021,+,CP4-57 prophage; uncharacterized protein YfjW,b2642,P52138,CP4-57 prophage; uncharacterized protein YfjW,yfjW,0.454381918,1.004305452,0.317165884,1.048002098,nan,nan,nan,nan,nan,
ygaD,nrdF,nrdF,ygaD,ECK2670,2803502,2804461,+,ribonucleoside-diphosphate reductase 2 subunit &beta;,b2676,P37146,ribonucleoside-diphosphate reductase 2 subunit &beta;,nrdF,0.466610952,1.031334883,0.293646249,0.970286847,Nucleotide transport and metabolism,nan,nan,nan,nan,
ygbL,ygbL,ygbL,noSyn,ECK2733,2863593,2864231,+,putative 3-oxo-tetronate 4-phosphate decarboxylase YgbL,b2738,Q46890,putative 3-oxo-tetronate 4-phosphate decarboxylase YgbL,ygbL,nan,nan,nan,0,Carbohydrate transport and metabolism,nan,nan,nan,nan,
ygcN,ygcN,ygcN,noSyn,ECK2761,2892657,2893928,+,putative oxidoreductase with FAD/NAD(P)-binding domain,b2766,Q46904,putative oxidoreductase with FAD/NAD(P)-binding domain,ygcN,0.496551659,1.097511845,0.291888517,0.964478824,Energy production and conversion,nan,nan,nan,nan,
ygeI,ygeI,ygeI,noSyn,ECK2851,2993638,2993856,+,protein YgeI,b2853,Q46789,protein YgeI,ygeI,0.495621606,1.095456181,0.313900413,1.037212097,nan,nan,nan,nan,nan,
ygeK,ygeK,ygeK,noSyn,ECK2853,2994460,2994903,-,putative DNA-binding transcriptional regulator YgeK,b2855,Q46791,putative DNA-binding transcriptional regulator YgeK,ygeK,0.495235327,1.094602402,0.324403032,1.0719156,nan,nan,nan,nan,nan,
ygeM,ygeN,ygeM,ygeM // b2857 // ECK2856,ECK2855,2995314,2996020,-,putative type III secretion system protein YgeN,b2857,Q46793,putative type III secretion system protein YgeN,ygeN,0.515800389,1.140056684,0.311669056,1.029839087,nan,nan,nan,nan,nan,
ygeN,ygeN,ygeM,ygeM // b2857 // ECK2856,ECK2855,2995314,2996020,-,putative type III secretion system protein YgeN,b2857,Q46793,putative type III secretion system protein YgeN,ygeN,0.502199913,1.109995997,0.309369727,1.022241483,nan,nan,nan,nan,nan,
ygfA,fau,ygfA,ygfA,ECK2907,3056241,3056789,+,putative 5-formyltetrahydrofolate cyclo-ligase,b2912,P0AC28,putative 5-formyltetrahydrofolate cyclo-ligase,fau,0.30746441,0.679578502,0.215117528,0.710806656,Coenzyme transport and metabolism,nan,nan,nan,nan,
ygfT,ygfT,ygfT,noSyn,ECK2882,3029012,3030931,-,putative oxidoreductase YgfT,b2887,Q46820,putative oxidoreductase YgfT,ygfT,0.498211363,1.101180235,0.316519945,1.045867742,Amino acid transport and metabolism,Energy production and conversion,nan,nan,nan,
ygfZ,ygfZ,ygfZ,yzzW,ECK2893,3041313,3042293,+,folate-binding protein,b2898,P0ADE8,folate-binding protein,ygfZ,0.334607098,0.739571094,0.156091584,0.515768927,"Posttranslational modification, protein turnover, chaperones",nan,nan,nan,nan,
yghW,yghW,yghW,noSyn,ECK2992,3146450,3146737,-,DUF2623 domain-containing protein YghW,b2998,P64574,DUF2623 domain-containing protein YghW,yghW,0.505078701,1.116358887,0.306735502,1.013537287,nan,nan,nan,nan,nan,
ygiA,ygiA,ygiA,noSyn,ECK3027,3179596,3179856,+,NA,b3036,nan,NA,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,
ygiS,ygiS,ygiS,noSyn,ECK3011,3166111,3167718,-,putative deoxycholate binding periplasmic protein,b3020,Q46863,putative deoxycholate binding periplasmic protein,ygiS,nan,nan,nan,0,Amino acid transport and metabolism,nan,nan,nan,nan,
ygiT,mqsA,mqsA,ygiT,ECK3012,3167851,3168246,-,antitoxin of the MqsRA toxin-antitoxin system / DNA-binding transcriptional repressor MqsA,b3021,Q46864,antitoxin of the MqsRA toxin-antitoxin system / DNA-binding transcriptional repressor MqsA,mqsA,0.487927657,1.078450498,0.317232822,1.04822328,Transcription,nan,nan,nan,nan,
ygjO,rlmG,ygjO,ygjO,ECK3074,3234739,3235875,-,23S rRNA m<sup>2</sup>G1835 methyltransferase,b3084,P42596,23S rRNA m<sup>2</sup>G1835 methyltransferase,rlmG,0.470365922,1.039634371,0.319149759,1.05455736,"Translation, ribosomal structure and biogenesis",nan,nan,nan,nan,
yhaL,yhaL,yhaL,noSyn,ECK3098,3255043,3255207,+,uncharacterized protein YhaL,b3107,P42625,uncharacterized protein YhaL,yhaL,0.461030882,1.019001438,0.304408538,1.005848367,nan,nan,nan,nan,nan,
yhbV,ubiV,ubiV,yhbV,ECK3147,3302489,3303367,+,ubiquinone biosynthesis protein UbiV,b3159,P45475,ubiquinone biosynthesis protein UbiV,ubiV,0.44109958,0.974947935,0.274762876,0.907891061,"Translation, ribosomal structure and biogenesis",nan,nan,nan,nan,
yhcA,yhcA,yhcA,noSyn,ECK3205,3362112,3362786,+,putative fimbrial chaperone YhcA,b3215,P28722,putative fimbrial chaperone YhcA,yhcA,nan,nan,nan,0,Extracellular structures,nan,nan,nan,nan,
yhcB,yhcB,yhcB,noSyn,ECK3222,3380191,3380589,+,DUF1043 domain-containing inner membrane protein YhcB,b3233,P0ADW3,DUF1043 domain-containing inner membrane protein YhcB,yhcB,0.441033764,0.974802463,nan,0,"Cell cycle control, cell division, chromosome partitioning",nan,nan,nan,nan,
yheL,tusB,yheL,yheL,ECK3330,3474678,3474965,-,sulfurtransferase complex subunit TusB,b3343,P45530,sulfurtransferase complex subunit TusB,tusB,0.306632339,0.677739403,0.144128303,0.476239001,"Translation, ribosomal structure and biogenesis",nan,nan,nan,nan,
yheM,tusC,yheM,yheM,ECK3331,3474973,3475332,-,sulfurtransferase complex subunit TusC,b3344,P45531,sulfurtransferase complex subunit TusC,tusC,0.355281097,0.785266157,0.179148322,0.591954642,"Translation, ribosomal structure and biogenesis",nan,nan,nan,nan,
yheN,tusD,yheN,yheN,ECK3332,3475332,3475718,-,sulfurtransferase complex subunit TusD,b3345,P45532,sulfurtransferase complex subunit TusD,tusD,0.303834999,0.671556533,0.17825754,0.589011256,Inorganic ion transport and metabolism,nan,nan,nan,nan,
yhfL,yhfL,yhfL,noSyn,ECK3357,3499448,3499615,+,DUF4223 domain-containing lipoprotein YhfL,b3369,P64627,DUF4223 domain-containing lipoprotein YhfL,yhfL,nan,nan,nan,0,nan,nan,nan,nan,nan,
yhfU,yhfU,yhfU,noSyn,ECK3365,3507348,3507701,-,DUF2620 domain-containing protein YhfU,b3378,P64631,DUF2620 domain-containing protein YhfU,yhfU,0.440494791,0.97361119,0.298467655,0.98621808,nan,nan,nan,nan,nan,
yhgA,rpnA,yhgA,yhgA,ECK3398,3543167,3544045,+,recombination-promoting nuclease RpnA,b3411,P31667,recombination-promoting nuclease RpnA,rpnA,0.510119087,1.127499487,0.307747224,1.016880292,"Replication, recombination and repair",nan,nan,nan,nan,
yhgE,yhgE,yhgE,noSyn,ECK3389,3530715,3532439,-,putative transport protein YhgE,b3402,P45804,putative transport protein YhgE,yhgE,0.490532305,1.084207465,0.311230122,1.028388732,nan,nan,nan,nan,nan,
